Date,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
2021-01-04,133.52000427246094,133.61000061035156,126.76000213623047,129.41000366210938,127.1641845703125,143301900,222.52999877929688,223.0,214.80999755859375,217.69000244140625,211.9966278076172,37130100
2021-01-05,128.88999938964844,131.74000549316406,128.42999267578125,131.00999450683594,128.7364044189453,97664900,217.25999450683594,218.52000427246094,215.6999969482422,217.89999389648438,212.20111083984375,23823000
2021-01-06,127.72000122070312,131.0500030517578,126.37999725341797,126.5999984741211,124.4029312133789,155088000,212.1699981689453,216.49000549316406,211.94000244140625,212.25,206.69888305664062,35930700
2021-01-07,128.36000061035156,131.6300048828125,127.86000061035156,130.9199981689453,128.64794921875,109578200,214.0399932861328,219.33999633789062,213.7100067138672,218.2899932861328,212.5809326171875,27694500
2021-01-08,132.42999267578125,132.6300048828125,130.22999572753906,132.0500030517578,129.7583770751953,105158200,218.67999267578125,220.5800018310547,217.02999877929688,219.6199951171875,213.87611389160156,22956200
2021-01-11,129.19000244140625,130.1699981689453,128.5,128.97999572753906,126.74163055419922,100384500,218.47000122070312,218.91000366210938,216.72999572753906,217.49000549316406,211.8018341064453,23031300
2021-01-12,128.5,129.69000244140625,126.86000061035156,128.8000030517578,126.56474304199219,91951100,216.5,217.10000610351562,213.32000732421875,214.92999267578125,209.3087921142578,23249300
2021-01-13,128.75999450683594,131.4499969482422,128.49000549316406,130.88999938964844,128.6184539794922,88636800,214.02000427246094,216.75999450683594,213.92999267578125,216.33999633789062,210.68190002441406,20087100
2021-01-14,130.8000030517578,131.0,128.75999450683594,128.91000366210938,126.67284393310547,90221800,215.91000366210938,217.4600067138672,212.74000549316406,213.02000427246094,207.44874572753906,29480800
2021-01-15,128.77999877929688,130.22000122070312,127.0,127.13999938964844,124.93355560302734,111598500,213.52000427246094,214.50999450683594,212.02999877929688,212.64999389648438,207.08839416503906,31746500
2021-01-19,127.77999877929688,128.7100067138672,126.94000244140625,127.83000183105469,125.61157989501953,90757300,213.75,216.97999572753906,212.6300048828125,216.44000244140625,210.77932739257812,30480900
2021-01-20,128.66000366210938,132.49000549316406,128.5500030517578,132.02999877929688,129.7386932373047,104319500,217.6999969482422,225.7899932861328,217.2899932861328,224.33999633789062,218.4727020263672,37777300
2021-01-21,133.8000030517578,139.6699981689453,133.58999633789062,136.8699951171875,134.49472045898438,120150900,224.6999969482422,226.3000030517578,222.4199981689453,224.97000122070312,219.08624267578125,30709400
2021-01-22,136.27999877929688,139.85000610351562,135.02000427246094,139.07000732421875,136.65650939941406,114459400,227.0800018310547,230.07000732421875,225.8000030517578,225.9499969482422,220.0405731201172,30172700
2021-01-25,143.07000732421875,145.08999633789062,136.5399932861328,142.9199981689453,140.439697265625,157611700,229.1199951171875,229.77999877929688,224.22000122070312,229.52999877929688,223.52696228027344,33152100
2021-01-26,143.60000610351562,144.3000030517578,141.3699951171875,143.16000366210938,140.67555236816406,98390600,231.86000061035156,234.17999267578125,230.0800018310547,232.3300018310547,226.25372314453125,49169600
