Term,Rate
8.21917808219178E-03,5.38255919658601E-02
3.56164383561643E-02,0.053798583902965
5.47945205479452E-02,5.37973412395872E-02
0.106849315068493,5.39606328050255E-02
0.186301369863013,5.41009857901641E-02
0.268493150684931,5.43447208233882E-02
0.361643835616438,5.44607261364877E-02
0.517808219178082,5.45369397918554E-02
0.767123287671232,5.41055716875036E-02
0.857534246575342,5.38636278679715E-02
1.02465753424657,5.33069824094037E-02
1.52328767123287,5.11899374632423E-02
2.02465753424657,4.89505914952355E-02
3.02465753424657,4.61018297544841E-02
4.02191780821917,4.46028866210484E-02
5.02191780821917,4.39078127868544E-02
6.02191780821917,4.35826394470513E-02
7.02739726027397,4.33898410937702E-02
8.02739726027397,4.33065753760669E-02
10.0246575342465,4.33341544643225E-02
12.0246575342465,4.34960469119545E-02
15.0301369863013,0.043657644875716
20.0356164383561,4.30960467737335E-02
30.0438356164383,3.99682308940476E-02
40.0438356164383,3.63712488130514E-02
50.0520547945205,3.25902830668819E-02

