Term,Rate
8.21917808219178E-03,0.039545378132095
3.28767123287671E-02,3.95237571478534E-02
5.20547945205479E-02,3.95169421265253E-02
0.104109589041095,3.95087366407755E-02
0.183561643835616,3.94926312855924E-02
0.265753424657534,3.95495825863487E-02
0.356164383561643,3.95857470730443E-02
0.515068493150684,3.95221976487161E-02
0.764383561643835,3.90504659858089E-02
0.854794520547945,3.87731068282814E-02
1.01643835616438,3.83457885041378E-02
1.52602739726027,3.65082688354149E-02
2.02191780821917,3.48527216547647E-02
3.02191780821917,0.0326831077417
4.01917808219178,3.15487243770475E-02
5.01917808219178,3.09980085088431E-02
6.01917808219178,3.09581506160674E-02
7.01917808219178,3.08441512294825E-02
8.02465753424657,3.09728971374265E-02
10.0219178082191,3.14651706739472E-02
12.0219178082191,3.21000613660001E-02
15.0273972602739,3.27214347438536E-02
20.0328767123287,3.21748404083647E-02
30.0410958904109,2.93460881851338E-02
40.0410958904109,2.77693956897938E-02
50.0493150684931,2.61170178948977E-02

