Term,Rate
8.21917808219178E-03,-3.30000447549779E-04
3.56164383561643E-02,-3.35770174245435E-04
5.47945205479452E-02,-4.03606024706298E-04
0.106849315068493,-4.30938302210361E-04
0.186301369863013,-4.04188482709218E-04
0.268493150684931,-3.21389278987676E-04
0.358904109589041,-2.49226651111792E-04
0.517808219178082,-7.63192295761742E-05
0.767123287671232,2.02709947077165E-04
0.857534246575342,3.0355565211301E-04
1.02465753424657,5.06804230398806E-04
1.52328767123287,1.17369541579637E-03
2.02465753424657,1.89940024055102E-03
3.02465753424657,3.15490621402832E-03
4.02191780821917,4.24550379202251E-03
5.02191780821917,5.21348369427058E-03
6.02191780821917,6.18575637461292E-03
7.02739726027397,7.12887678484906E-03
8.02739726027397,7.96949939003441E-03
10.0246575342465,9.53346411627843E-03
12.0246575342465,1.08742066315028E-02
15.0301369863013,1.26778036741355E-02
20.0356164383561,1.49842291210717E-02
30.0438356164383,0.016152682781184
40.0438356164383,0.015691923414976

